Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Grand Valley State University,3,4,Public,Great Lakes,Large Suburb,0.826,24,1090,21137,0.8351,0.054,0.0431,0.0193,0.0042,0.0004,0.0261,0.0127,0.116,21512,7728,7816,0.6634,0.3632,0.695,0.8165,0.0992,5.1,20898.5,26500,12000,0.959999979,0.479999989,20.79999924,78034.29,72885.5,5.510000229,426,5381,39600,36900
Grand View University,3,4,Private,Great Plains,Mid-size City,0.9542,21,979,2079,0.7369,0.076,0.0279,0.0317,0.0048,0.0014,0.0332,0.0168,0.1688,31761,6141,6421,0.4095,0.4574,0.4795,0.6873,0.2648,9.1,18500,25000,10300,0.959999979,0.49000001,23.35000038,64073.16,54502,5.570000172,65,864,40200,38900
Greenville College,3,4,Private,Great Lakes,Distant Town,0.657,22,1033,1101,0.7593,0.0817,0.0418,0.0091,0.0009,0,0.0236,0.0345,0.0227,33675,6925,5649,1,0.3668,0.5049,0.729,0.0983,6.7,16568,24550,12000,0.980000019,0.5,23.21999931,65457.64,61294,7.059999943,54,568,35800,32400
Grinnell College,3,3,Private,Great Plains,Remote Town,0.3506,30,1357,1661,0.5798,0.059,0.0837,0.0753,0.0018,0,0.0427,0.1264,0.0012,53318,23516,9129,0.8313,0.2097,0.8568,0.9324,0.0017,3,10022.5,10775,7950,0.949999988,0.349999994,19.37999916,98649.16,88440,6.889999866,26,240,47100,37600
Guilford College,3,3,Private,Southeast,Large City,0.6818,23,1067,2171,0.6214,0.246,0.058,0.0175,0.0041,0.0005,0.0318,0.0143,0.1603,44255,7234,6361,0.6378,0.4992,0.5676,0.718,0.3875,10.1,18500,27325,9250,0.910000026,0.600000024,27.39999962,57515.57,36082.5,7.380000114,107,858,36100,33400
Gustavus Adolphus College,3,3,Private,Great Plains,Fringe Town,0.6322,27,1224,2439,0.8335,0.0226,0.0291,0.039,0.0016,0,0.0291,0.0353,0.009,48422,14254,7179,0.8071,0.2478,0.8228,0.9205,0.0029,2.3,26000,27000,11440,0.99000001,0.289999992,19.44000053,108308.7,93107,4.539999962,30,730,45800,42400
Gwynedd Mercy University,3,4,Private,Mid-Atlantic,Large Suburb,0.6591,19,944,2031,0.61,0.2477,0.0414,0.0463,0.0039,0,0,0.0034,0.0886,39051,7436,7046,0.2358,0.3351,0.6598,0.8222,0.419,7.7,20250,26000,11597,0.980000019,0.319999993,26.02000046,79474.28,70168,5.940000057,44,771,50200,48600
Hamilton College,3,3,Private,Mid-Atlantic,Fringe Rural,0.2719,31,1384,1909,0.6249,0.0382,0.077,0.0676,0,0,0.0304,0.0461,0.0026,57420,28954,11159,0.8972,0.1375,0.9295,0.9403,0.0067,1.8,15500,16500,7475,0.970000029,0.310000002,19.37000084,110802.25,99145,7.230000019,22,302,62800,52600
Hamline University,3,4,Private,Great Plains,Large City,0.6557,24,1106,2108,0.7173,0.0645,0.0602,0.0607,0.0047,0.0009,0.0536,0.0152,0.0209,43433,7717,6607,0.4591,0.3852,0.6637,0.813,0.0615,4,18250,25018.5,12000,0.980000019,0.340000004,22.78000069,71451.3,61451,5.300000191,68,882,47800,43100
Hampden-Sydney College,3,3,Private,Southeast,Distant Rural,0.5486,25,1113,1070,0.8103,0.0813,0.0224,0.0187,0.0056,0,0.0477,0.0028,0.0019,49139,12547,7887,0.9304,0.1991,0.6216,0.7836,0.0047,5,19500,27000,7221,0.99000001,0.239999995,19.47999954,123258.46,105824,6.25,19,262,46200,42500
Hampshire College,3,3,Private,New England,Large Suburb,0.6369,0,0,1468,0.6723,0.0245,0.0933,0.0211,0.0014,0.0007,0.0525,0.0552,0,57765,14260,9033,1,0.217,0.6607,0.8123,0.0328,3.2,16250,20000,8750,0.970000029,0.319999993,19.60000038,102781.22,88959,6.449999809,56,303,28500,25100
Hampton University,3,4,Private,Southeast,Mid-size City,0.3605,21,990,3529,0.0315,0.932,0.0113,0.0096,0.0011,0,0,0.0145,0.053,32358,8966,7455,0.9859,0.3912,0.6751,0.7554,0.1072,9.7,22870,27474,13050,0.959999979,0.529999971,21,69758.11,55050,9.569999695,142,1502,42100,38000
Hanover College,3,3,Private,Great Lakes,Distant Town,0.6673,26,1130,1159,0.8223,0.0449,0.0242,0.0104,0.0043,0,0.0242,0.0457,0.0026,42198,13801,7847,0.9238,0.3482,0.7186,0.8091,0.0034,5,22225,27000,5500,0.949999988,0.370000005,19.56999969,90897.96,82681,5.730000019,21,270,41500,37300
Harding University,3,4,Private,Southeast,Distant Town,0.7628,25,1139,4428,0.8347,0.0379,0.0294,0.0068,0.0079,0.0007,0.0133,0.0657,0.0729,25475,9503,7082,0.7364,0.2631,0.6219,0.8234,0.058,4.4,19801.5,26250,12500,0.959999979,0.479999989,20.59000015,83726.71,76594,7.900000095,168,1248,38600,35500
Hardin-Simmons University,3,4,Private,Southwest,Mid-size City,0.3759,23,1035,1690,0.7243,0.0669,0.1485,0.0083,0.0024,0.0006,0.0249,0.0189,0.0793,32001,9644,6653,0.7157,0.3379,0.514,0.6285,0.0982,9.1,16137,27000,7500,0.959999979,0.519999981,20.94000053,71686.11,60884,8.720000267,71,855,40400,36700
Hartwick College,3,3,Private,Mid-Atlantic,Remote Town,0.8424,25,1126,1607,0.6889,0.0635,0.0572,0.0162,0.0081,0.0006,0,0.0317,0.0193,48699,11990,8002,0.9492,0.3228,0.5708,0.7175,0.0284,5.2,19500,27000,8500,0.980000019,0.409999996,19.52000046,92072.97,77126,7.170000076,32,493,38800,37300
Harvard University,3,4,Private,New England,Mid-size City,0.0584,34,1501,7278,0.4624,0.0653,0.0933,0.1777,0.0022,0.0008,0.0599,0.1028,0.0503,57950,47083,17861,0.8595,0.1016,0.9747,0.9706,0.2342,1.9,7500,6000,12500,0.899999976,0.230000004,23.64999962,60645.79,33323.5,7.769999981,186,1600,118700,77600
Hastings College,3,4,Private,Great Plains,Distant Town,0.7364,24,1083,1060,0.8462,0.0292,0.0519,0.016,0.0066,0.0057,0.0226,0.0142,0.0094,35673,7894,6292,1,0.3124,0.5762,0.661,0.0286,4.8,20500,27000,9750,0.970000029,0.439999998,19.84000015,80636.78,72062,6.079999924,28,455,39100,38500
Haverford College,3,3,Private,Mid-Atlantic,Large Suburb,0.2349,32,1400,1187,0.658,0.064,0.0775,0.0716,0.0025,0,0.0708,0.0556,0,59654,27567,10341,0.8235,0.1502,0.9333,0.9783,0.0008,3.3,13399,13852.5,6500,0.930000007,0.300000012,19.31999969,108246.15,89312.5,7.110000134,10,135,54200,46000
Hawaii Pacific University,3,4,Private,Far West,Large City,0.6411,22,1005,5386,0.2824,0.052,0.1326,0.1742,0.0043,0.0241,0.1769,0.1196,0.3147,29762,6203,8603,0.4071,0.257,0.3961,0.6875,0.4269,4.4,16250,25000,10308,0.959999979,0.540000021,23.52000046,58493.03,41600,6.96999979,191,1370,47100,42100
Henderson State University,3,4,Public,Southeast,Distant Town,0.6221,22,1011,3190,0.6583,0.2367,0.0348,0.0066,0.0025,0,0.0511,0.0094,0.0984,18033,6124,5606,1,0.5296,0.2854,0.5716,0.171,15.4,10443,20191,8500,0.870000005,0.730000019,22.09000015,44544.81,32258,12.10999966,127,1039,34100,32300
Hendrix College,3,4,Private,Southeast,Small City,0.8039,29,1267,1428,0.7143,0.0448,0.0469,0.0518,0.0217,0,0.0189,0.0364,0.0042,50172,12018,7233,0.6778,0.1792,0.6959,0.878,0.0056,6.6,19500,24924,13500,0.970000029,0.370000005,19.47999954,100605.48,80333,8.050000191,27,273,39300,36100
High Point University,3,4,Private,Southeast,Mid-size City,0.6418,24,1087,3996,0.8418,0.0571,0.0305,0.012,0.0148,0.0005,0.0095,0.0123,0.0115,42300,8793,6894,1,0.1264,0.6176,0.75,0.0175,9.4,18250,25394.5,7080,0.959999979,0.519999981,24.95999908,62315.07,47907.5,7.300000191,108,1002,37800,34900
Hiram College,3,4,Private,Great Lakes,Fringe Town,0.5736,22,1030,1260,0.7079,0.1365,0.0357,0.0127,0.0008,0.004,0.0206,0.0381,0.1143,42672,9169,5420,0.5405,0.4107,0.6456,0.7566,0.1777,9.8,21333.5,27000,10500,0.980000019,0.479999989,23.19000053,70702.85,63023.5,6.639999866,29,375,39500,35300
Hobart William Smith Colleges,3,4,Private,Mid-Atlantic,Distant Town,0.4944,0,0,2311,0.691,0.0415,0.0584,0.0242,0.0078,0.0009,0,0.0467,0.0017,57699,13098,9360,0.8755,0.1846,0.79,0.8817,0.0165,2.4,26500,27000,12000,0.980000019,0.330000013,19.37999916,112124.84,95616.5,6.989999771,24,503,50700,43800
Hodges University,3,4,Private,Southeast,Large Suburb,0.8281,0,0,1864,0.4372,0.1642,0.3471,0.0172,0.0086,0.0021,0.0091,0,0.301,23659,6256,5132,0.5294,0.7107,0.3,0.4906,0.6942,14.2,14900,27607.5,11109.5,0.850000024,0.680000007,30.37999916,38391.52,27787,7.949999809,156,904,41500,36400
Hofstra University,3,4,Private,Mid-Atlantic,Large Suburb,0.5871,26,1165,6748,0.5871,0.086,0.127,0.0788,0.0024,0.0082,0.0268,0.0274,0.0574,49604,15989,12848,0.4726,0.2257,0.6212,0.7826,0.0511,5.2,19150,23900,10900,0.959999979,0.409999996,20.42000008,90094.08,74751,5.659999847,310,2834,50700,45900
Holy Family University,3,4,Private,Mid-Atlantic,Large City,0.7585,19,933,2018,0.5565,0.0728,0.0629,0.0411,0.0015,0.0005,0,0.005,0.2592,31949,8855,6991,0.2789,0.3558,0.5461,0.7792,0.2796,4.4,22498.5,27000,11000,0.980000019,0.449999988,23.85000038,66036.94,58483.5,8.5,60,690,47800,46800
Hood College,3,4,Private,Mid-Atlantic,Small City,0.8102,22,1030,1347,0.66,0.1188,0.078,0.0319,0.0022,0,0.0453,0.023,0.0683,45230,8787,7078,0.4024,0.3424,0.6644,0.777,0.121,4.9,22375,27000,12500,0.970000029,0.409999996,21.37000084,80494.07,72812,4.559999943,38,310,43300,40000
Hope College,3,3,Private,Great Lakes,Small City,0.7253,27,1204,3296,0.8535,0.0225,0.0671,0.0164,0.0009,0,0.0194,0.0203,0.0249,38593,9281,7591,0.6787,0.204,0.7814,0.8836,0.0153,3.5,25000,27000,14025,0.980000019,0.340000004,19.45000076,107260.41,91493,4.550000191,44,792,41400,39700
Houghton College,3,4,Private,Mid-Atlantic,Remote Rural,0.9108,25,1113,1047,0.85,0.0258,0.0181,0.0115,0.0029,0,0.0267,0.0602,0.0229,38352,10107,4007,0.7111,0.3758,0.7386,0.8755,0.0981,2.4,19000,23500,18750,0.949999988,0.49000001,23.07999992,70824.5,62241.5,7.349999905,59,543,39500,35800
Houston Baptist University,3,4,Private,Southwest,Large City,0.7318,24,1075,2165,0.2776,0.1921,0.2605,0.1275,0.0037,0.0023,0.0739,0.036,0.0744,36095,7357,6504,0.584,0.4868,0.4388,0.6284,0.1041,9,12500,25000,8250,0.899999976,0.680000007,23.21999931,52507.59,34306,9.010000229,82,481,43900,41700
Howard Payne University,3,4,Private,Southwest,Remote Town,0.5382,20,953,1059,0.6516,0.0944,0.1974,0.0028,0.0028,0.0009,0.0349,0.0019,0.0737,32861,8101,5553,1,0.4253,0.4196,0.6094,0.0927,16.3,12275,23412.5,9500,0.930000007,0.620000005,21.94000053,57439.52,46720,10.60000038,69,517,35800,33300
Howard University,3,4,Private,Mid-Atlantic,Large City,0.493,24,1081,6855,0.0134,0.9183,0.0036,0.013,0.0197,0.0039,0,0.028,0.0613,40129,22191,8566,0.7495,0.4494,0.6065,0.8154,0.086,11.6,24250,27000,15750,0.949999988,0.579999983,20.96999931,63421.37,47531,10.55000019,166,1712,46400,42400
Humboldt State University,3,4,Public,Far West,Remote Town,0.8018,21,1008,7748,0.5021,0.036,0.2657,0.0329,0.0107,0.0026,0.06,0.0084,0.0654,23113,8294,8148,0.5414,0.5162,0.4004,0.7756,0.1788,11.8,15000,20250,10730,0.889999986,0.730000019,22.87999916,47467.44,26935.5,10.92000008,373,2035,34200,30400
Huntingdon College,3,3,Private,Southeast,Mid-size City,0.6279,22,999,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1836,31433,6571,6027,0.4083,0.4302,0.4319,0.6196,0.1937,10.5,16850,27000,9500,0.949999988,0.529999971,22.90999985,63952.76,54275.5,10.60999966,43,284,36100,33000
Huntington University,3,4,Private,Great Lakes,Distant Town,0.9732,24,1054,1030,0.8816,0.0204,0.034,0.0049,0.0029,0.001,0.0146,0.0408,0.068,34764,8241,5945,1,0.346,0.623,0.7941,0.1178,5.4,21875,27000,13362,0.980000019,0.460000008,21.54999924,78159.98,72496.5,4.710000038,28,338,32500,31900
Husson University,3,4,Private,New England,Small City,0.7989,19,962,2290,0.8808,0.0362,0.0135,0.0052,0.007,0.0013,0.0135,0.0389,0.1843,25019,6274,6539,0.3693,0.2796,0.4654,0.7158,0.2332,9.7,21329,26000,12466,0.970000029,0.610000014,22.20000076,54963.01,46670,8.800000191,50,733,38600,34600
Illinois Institute of Technology,3,4,Private,Great Lakes,Large City,0.5697,28,1252,2855,0.373,0.0683,0.1471,0.1082,0.0042,0.0042,0.0046,0.2452,0.0511,48940,12231,11256,0.5634,0.3167,0.625,0.8596,0.1459,3.1,22015,26981.5,12000,0.959999979,0.409999996,21.44000053,69130.16,55985.5,6.590000153,64,624,70000,61700
Illinois State University,3,4,Public,Great Lakes,Mid-size Suburb,0.6892,24,1110,17667,0.7969,0.0714,0.0771,0.02,0.0018,0.001,0.0223,0.0046,0.0586,25416,9950,7665,0.7261,0.2557,0.7162,0.816,0.0615,4,18750,22500,9500,0.949999988,0.389999986,20.45999908,86459.94,82019,5.019999981,301,5168,43000,40600
Illinois Wesleyan University,3,3,Private,Great Lakes,Small City,0.5838,28,1241,2000,0.738,0.046,0.063,0.046,0.003,0.0005,0.014,0.049,0.003,48522,15537,7853,0.7246,0.1878,0.7807,0.8755,0.006,3.8,25000,27000,9000,0.99000001,0.25999999,19.38999939,113545.76,103114.5,4.449999809,19,529,51100,48500
Immaculata University,3,4,Private,Mid-Atlantic,Large Suburb,0.7964,20,943,2452,0.7157,0.1692,0.0465,0.0253,0.0016,0.0012,0.0192,0.0069,0.5175,45011,4936,5130,1,0.2234,0.4828,0.8197,0.5414,6.1,22000,26000,14073.5,0.980000019,0.370000005,26.77000046,72962.38,62480,5.889999866,44,454,50500,47000
Indiana Institute of Technology,3,4,Private,Great Lakes,Large City,0.7225,20,934,5670,0.4776,0.3945,0.0393,0.0041,0.0042,0.0014,0.0203,0.0132,0.3499,35911,3479,6965,1,0.6241,0.3201,0.5476,0.6921,10.6,10250,28743.5,9500,0.949999988,0.589999974,29.15999985,54055.17,43973.5,7.260000229,90,879,41100,37600
Indiana State University,3,4,Public,Great Lakes,Small City,0.8306,19,910,10173,0.6728,0.1821,0.0348,0.011,0.0024,0.0006,0.0297,0.0577,0.1033,19549,7430,7071,0.7051,0.4344,0.4159,0.6353,0.1549,10.7,11726.5,24193,9500,0.920000017,0.569999993,21.93000031,60917.09,52313,7.659999847,311,2836,35900,33100
Indiana University of Pennsylvania-Main Campus,3,4,Public,Mid-Atlantic,Distant Town,0.9049,20,973,12405,0.7824,0.1047,0.0307,0.0094,0.0009,0.0002,0.0264,0.0316,0.0418,22936,8479,9088,0.6653,0.362,0.5119,0.734,0.064,8.8,20500,27000,11388,0.959999979,0.50999999,20.34000015,70406.75,63430,7.800000191,415,4437,37500,35300
Indiana University-Bloomington,3,4,Public,Great Lakes,Small City,0.7217,27,1198,31984,0.7313,0.0406,0.0438,0.0384,0.0012,0.0007,0.031,0.1075,0.0336,23043,13471,9431,0.8555,0.1937,0.7705,0.8982,0.0299,5.9,19500,23628,15000,0.959999979,0.370000005,20.26000023,92768.66,80326,5.5,531,7104,49000,42000
Indiana University-East,3,4,Public,Great Lakes,Fringe Rural,0.5381,21,943,3132,0.8924,0.0358,0.0236,0.0067,0.0019,0.0016,0.0179,0.0042,0.3854,15334,5273,5755,0.3836,0.3606,0.2348,0.6749,0.3722,21,13336,23388,9552,0.870000005,0.75,25.76000023,41221.38,33572,7.159999847,187,793,30700,27600
Indiana University-Kokomo,3,4,Public,Great Lakes,Small City,0.7355,21,950,2708,0.8394,0.0403,0.0421,0.0092,0.0033,0.0015,0.0258,0.003,0.2607,15874,5515,5680,0.5093,0.3195,0.2756,0.6086,0.2547,12,12050,19500,9500,0.850000024,0.600000024,25.40999985,53539.93,42220,5.789999962,128,821,36600,33900
Indiana University-Northwest,3,4,Public,Great Lakes,Small City,0.7625,20,918,4764,0.5626,0.1982,0.1732,0.0227,0.0023,0.0017,0.0199,0.001,0.3306,18092,6481,6557,0.4709,0.3472,0.259,0.6794,0.2966,13.9,14950,29036.5,12265.5,0.889999986,0.660000026,25.54999924,44723.98,29342,8.529999733,227,1359,36400,34100
Indiana University-Purdue University-Fort Wayne,3,4,Public,Great Lakes,Large City,0.8309,22,996,9795,0.8205,0.0542,0.0513,0.0218,0.0032,0.0003,0.0264,0.0165,0.25,18837,6082,7355,0.9353,0.3675,0.2594,0.6719,0.2112,10.9,15517,26000,10791,0.899999976,0.600000024,23.39999962,55513.79,45905.5,5.690000057,414,3099,34800,32000
Indiana University-Purdue University-Indianapolis,3,4,Public,Great Lakes,Large City,0.6958,22,1013,21569,0.7233,0.105,0.0532,0.0355,0.0015,0.0007,0.0329,0.0344,0.2296,20846,15311,7713,0.5751,0.3659,0.4161,0.7195,0.2933,8.6,16500,25388,12287,0.930000007,0.540000021,23.69000053,56695.09,43017,6.199999809,762,6317,43200,37400
Indiana University-South Bend,3,4,Public,Great Lakes,Mid-size City,0.7003,21,962,5538,0.7687,0.0726,0.0746,0.0141,0.0022,0.0005,0.0271,0.0206,0.2878,17377,7174,5575,0.5782,0.3369,0.258,0.6346,0.261,15.2,14000,25724,10250,0.879999995,0.639999986,24,52103.27,42462,6.860000134,212,1685,33100,31300
Indiana University-Southeast,3,4,Public,Great Lakes,Large Suburb,0.7945,20,950,5699,0.8579,0.0602,0.0288,0.014,0.0018,0.0018,0.0239,0.0033,0.3608,16753,6512,6539,1,0.3439,0.3014,0.6081,0.3053,12.6,12500,22915,9500,0.860000014,0.600000024,23.54999924,51830.59,41532,7.360000134,162,1343,35100,32800
Indiana Wesleyan University,3,4,Private,Great Lakes,Distant Town,0.9515,24,1083,10625,0.7624,0.1762,0.0299,0.0072,0.0037,0.001,0.016,0.0014,0.0983,33770,3954,6853,1,0.3903,0.655,0.7776,0.6919,6.1,21500,24806.5,12125,0.970000029,0.400000006,31.17000008,69016.27,61954.5,6.269999981,311,3539,51100,45100
Inter American University of Puerto Rico-Aguadilla,3,4,Private,Outlying Areas,Large Suburb,0.8642,0,0,4203,0.001,0,0.999,0,0,0,0,0,0.1287,10896,2490,4427,1,0.8454,0.3341,0.719,0.239,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Arecibo,3,4,Private,Outlying Areas,Small City,0.47,0,0,4275,0.0002,0,0.9993,0.0002,0.0002,0,0,0,0.1502,12408,2610,4242,1,0.8554,0.3081,0.7528,0.2398,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Barranquitas,3,4,Private,Outlying Areas,Large Suburb,0.4761,0,0,2005,0.0005,0,0.9975,0,0.002,0,0,0,0.0973,11331,2915,3980,1,0.9215,0.4149,0.7294,0.1577,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Bayamon,3,4,Private,Outlying Areas,Large Suburb,0.4439,0,0,4681,0.0026,0.0017,0.9949,0,0.0009,0,0,0,0.1333,10413,2878,4455,1,0.8096,0.2372,0.7609,0.1721,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Fajardo,3,4,Private,Outlying Areas,Small Suburb,0.7632,0,0,2159,0.0009,0,0.9991,0,0,0,0,0,0.1542,10578,2664,4296,1,0.8613,0.1958,0.7617,0.2506,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Guayama,3,4,Private,Outlying Areas,Small City,0.7286,0,0,2054,0.001,0.001,0.9971,0,0.001,0,0,0,0.1363,11944,2423,4294,1,0.8448,0.3066,0.6909,0.2962,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Metro,3,4,Private,Outlying Areas,Large City,0.3711,0,0,6844,0.0047,0.0075,0.9851,0.0019,0.0003,0.0006,0,0,0.1666,13319,3611,4998,1,0.6713,0.2327,0.7143,0.3141,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-Ponce,3,4,Private,Outlying Areas,Mid-size Suburb,0.5307,0,0,5353,0.0002,0.0002,0.9979,0,0.0017,0,0,0,0.1375,10884,2393,4363,1,0.8452,0.3068,0.7869,0.272,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Inter American University of Puerto Rico-San German,3,4,Private,Outlying Areas,Small City,0.6976,0,0,4308,0.0021,0.0012,0.9954,0.0002,0.0009,0.0002,0,0,0.0882,10830,3332,4685,1,0.8128,0.3586,0.7969,0.1463,19.5,7250,8500,7000,0.589999974,0.970000029,22.32999992,17971.97,13417.5,47.34999847,6252,12195,20500,17500
Iona College,3,4,Private,Mid-Atlantic,Large Suburb,0.9212,22,1009,3166,0.5913,0.0786,0.1927,0.018,0.0025,0.0016,0.0161,0.0208,0.019,44623,8271,9082,0.5068,0.2424,0.6258,0.8269,0.0158,4.3,21000,25250,12000,0.939999998,0.409999996,19.98999977,94283.08,79521,7.96999979,95,1081,49300,45400
Iowa State University,3,4,Public,Great Plains,Small City,0.8252,25,1145,27112,0.7724,0.0253,0.0429,0.0269,0.0021,0.001,0.0195,0.0732,0.0416,18820,9170,10027,0.8288,0.2263,0.681,0.8713,0.0574,5.1,19750,25250,9751,0.970000029,0.439999998,20.34000015,81434.68,73557,5.449999809,433,6659,47500,43500
Ithaca College,3,4,Private,Mid-Atlantic,Small Suburb,0.666,0,0,6202,0.6911,0.0468,0.0734,0.0303,0.0019,0.0006,0.0287,0.019,0.0129,53521,12032,8425,0.6671,0.1941,0.7575,0.8752,0.0099,1.7,23251,26300,9026,0.99000001,0.319999993,19.42000008,103308.55,92718,5.400000095,98,1827,48700,45600
Jackson State University,3,4,Public,Southeast,Mid-size City,0.6464,19,910,6880,0.0493,0.9206,0.0065,0.0035,0.0049,0,0.0151,0,0.1576,18724,8323,6761,0.7274,0.6476,0.3852,0.7552,0.3656,14.9,23750,31000,19500,0.910000026,0.879999995,23.13999939,29677.48,21113,19.13999939,254,1740,29300,26000
Jacksonville State University,3,4,Public,Southeast,Small City,0.8326,23,1036,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,0.2128,19202,6949,6857,0.6516,0.4613,0.3083,0.7112,0.22,11.3,16500,23500,12000,0.920000017,0.699999988,22.81999969,47062.65,35158,11.44999981,306,2276,33400,31300
Jacksonville University,3,4,Private,Southeast,Large City,0.4737,22,1010,3360,0.489,0.1607,0.0708,0.0321,0.011,0.0021,0,0.0286,0.3467,42459,8135,6923,0.9793,0.2938,0.3821,0.7172,0.4289,7.7,15000,22334,11145,0.959999979,0.479999989,25.45999908,68702.63,55957,7.670000076,79,920,49000,42100
James Madison University,3,4,Public,Southeast,Small City,0.6356,25,1149,18127,0.788,0.0399,0.0472,0.0414,0.0015,0.0018,0.0323,0.0195,0.0344,21980,8099,8016,0.7692,0.1343,0.815,0.9237,0.0259,2.5,18500,20683.5,9500,0.949999988,0.289999992,19.67000008,108473.44,99908,4.659999847,197,3208,52300,48800
John Brown University,3,4,Private,Southeast,Distant Town,0.6982,25,1144,1770,0.8017,0.0209,0.0525,0.009,0.0119,0.0006,0.0322,0.0667,0.1124,33326,7040,6425,0.9766,0.3184,0.6537,0.8239,0.2192,4.8,17900,22500,13000,0.930000007,0.49000001,25.43000031,65047.55,53841.5,8.050000191,77,644,49600,43100
John Carroll University,3,4,Private,Great Lakes,Large Suburb,0.8334,25,1112,3009,0.8375,0.0449,0.0376,0.0166,0.001,0,0.0186,0.0093,0.0196,45714,9365,8098,0.9952,0.273,0.7528,0.8811,0.0276,3.7,23489.5,27000,9548.5,0.980000019,0.330000013,19.78000069,104804.16,88730,5.730000019,50,918,48500,45100
Johns Hopkins University,3,4,Private,Mid-Atlantic,Large City,0.1813,32,1418,5932,0.4872,0.0556,0.1015,0.1861,0.0012,0.0007,0.0406,0.1043,0.0158,58980,75570,10922,0.8637,0.1307,0.9254,0.9704,0.0775,1.7,17500,18500,15504,0.980000019,0.189999998,22.92000008,83968.47,57761.5,6.179999828,135,1250,73800,64400
Johnson & Wales University-North Miami,3,3,Private,Southeast,Large Suburb,0.6496,0,0,1937,0.2039,0.2623,0.2385,0.0088,0.0021,0.001,0.0382,0.1172,0.0268,38974,5776,7491,1,0.5593,0.4627,0.6969,0.0845,11,20667,27000,11000,0.980000019,0.49000001,20.85000038,71585.99,55421,7.849999905,798,7539,35500,33000
Johnson & Wales University-Providence,3,4,Private,New England,Mid-size City,0.7602,0,0,9067,0.5503,0.0936,0.0978,0.0138,0.002,0.0006,0.0435,0.079,0.0679,40136,5254,8309,1,0.3349,0.5783,0.7899,0.1037,11,20667,27000,11000,0.980000019,0.49000001,20.85000038,71585.99,55421,7.849999905,798,7539,35500,33000
Johnson C Smith University,3,3,Private,Southeast,Large City,0.3668,17,826,1382,0.0058,0.7279,0.0601,0.0014,0.0014,0.0029,0.0166,0.0441,0.0456,30314,6837,6158,0.6059,0.6938,0.4431,0.5614,0.1687,27.4,18750,32000,11000,0.980000019,0.769999981,19.59000015,45964.04,34256.5,12.06999969,73,653,26000,25100
Johnson State College,3,4,Public,New England,Distant Rural,0.9688,19,948,1433,0.8437,0.0174,0.0314,0.0105,0.0084,0.0035,0.0195,0.0049,0.335,20404,8333,6661,1,0.4962,0.3659,0.6186,0.3459,13.4,18000,26268,12000,0.959999979,0.569999993,24.59000015,55871.96,43579,6.050000191,77,628,30600,28000
Judson University,3,4,Private,Great Lakes,Mid-size City,0.7069,23,1045,1020,0.5961,0.0598,0.1069,0.0167,0,0.002,0.0206,0.0382,0.2392,37635,8737,6071,0.4224,0.4371,0.5,0.7226,0.2899,6,18245.5,25000,9500,0.970000029,0.439999998,26.39999962,73319.5,67400.5,5,74,532,40400,36300
Juniata College,3,4,Private,Mid-Atlantic,Distant Town,0.7409,0,0,1503,0.7399,0.0286,0.0379,0.0253,0.0007,0,0.0246,0.0758,0.002,47269,9949,7816,0.6341,0.2176,0.7507,0.8781,0.0271,1.6,26976.5,27000,8750,0.980000019,0.340000004,19.71999931,90303.29,81010.5,6.199999809,37,465,46000,43000
